City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,winnemucca,40.973,-117.7357,-6.97,86,0,2.57,US,2025-01-08
1,port-aux-francais,-49.35,70.2167,5.85,73,28,9.21,TF,2025-01-08
2,puerto natales,-51.7236,-72.4875,11.25,82,75,7.2,CL,2025-01-08
3,fort bragg,35.139,-79.006,-1.72,65,0,3.09,US,2025-01-08
4,punta arenas,-53.15,-70.9167,12.06,76,75,4.63,CL,2025-01-08
5,constantia,44.1833,28.65,13.38,75,35,3.25,RO,2025-01-08
6,puerto ayora,-0.7393,-90.3518,24.19,97,100,4.02,EC,2025-01-08
7,edinburgh of the seven seas,-37.0676,-12.3116,17.72,98,90,5.34,SH,2025-01-08
8,chibougamau,49.9168,-74.3659,-13.21,78,100,5.66,CA,2025-01-08
9,margaret river,-33.95,115.0667,13.94,78,100,3.99,AU,2025-01-08
10,tiksi,71.6872,128.8694,-22.64,91,49,7.13,RU,2025-01-08
11,new holland,40.1018,-76.0852,-2.48,63,100,7.72,US,2025-01-08
12,hermanus,-34.4187,19.2345,23.22,67,2,5.49,ZA,2025-01-08
13,adamstown,-25.066,-130.1015,24.7,77,100,8.61,PN,2025-01-08
14,mwinilunga,-11.7358,24.4293,25.03,61,100,2.86,ZM,2025-01-08
15,afaahiti,-17.75,-149.2833,25.84,74,100,2.32,PF,2025-01-08
16,papatowai,-46.5619,169.4708,11.45,94,97,2.23,NZ,2025-01-08
17,nortelandia,-14.4547,-56.8028,27.87,81,87,2.57,BR,2025-01-08
18,west island,-12.1568,96.8225,27.99,78,75,6.17,CC,2025-01-08
19,quellon,-43.1167,-73.6167,14.07,98,100,3.81,CL,2025-01-08
20,fort mcmurray,56.7268,-111.381,2.77,75,100,6.69,CA,2025-01-08
21,howrah,22.5892,88.3103,18.0,72,19,2.57,IN,2025-01-08
22,georgetown,5.4112,100.3354,28.96,69,20,2.24,MY,2025-01-08
23,mount gambier,-37.8333,140.7667,17.26,77,100,1.5,AU,2025-01-08
24,posto fiscal rolim de moura,-13.0833,-62.2667,27.27,86,100,1.94,BR,2025-01-08
25,nova sintra,14.8667,-24.7167,23.52,72,0,10.66,CV,2025-01-08
26,newnham,-41.3833,147.1333,15.53,77,100,3.6,AU,2025-01-08
27,yellowknife,62.456,-114.3525,-13.1,96,100,9.26,CA,2025-01-08
28,walvis bay,-22.9575,14.5053,24.53,50,10,5.14,NA,2025-01-08
29,grytviken,-54.2811,-36.5092,6.92,55,30,0.72,GS,2025-01-08
30,olonkinbyen,70.9221,-8.7187,-5.7,82,97,7.08,SJ,2025-01-08
31,albany,42.6001,-73.9662,-6.87,65,60,2.24,US,2025-01-08
32,waitangi,-43.9535,-176.5597,13.23,97,100,3.58,NZ,2025-01-08
33,luganville,-15.5333,167.1667,25.79,87,93,1.97,VU,2025-01-08
34,isafjordur,66.0755,-23.124,-4.98,58,20,3.6,IS,2025-01-08
35,remire-montjoly,4.9167,-52.2667,29.02,65,75,7.72,GF,2025-01-08
36,ust-nera,64.5667,143.2,-33.68,97,100,2.11,RU,2025-01-08
37,anadyr,64.75,177.4833,-21.72,71,0,8.0,RU,2025-01-08
38,kingston,17.997,-76.7936,28.53,70,20,3.09,JM,2025-01-08
39,ushuaia,-54.8,-68.3,12.81,71,20,2.06,AR,2025-01-08
40,new norfolk,-42.7826,147.0587,13.29,71,100,1.29,AU,2025-01-08
41,bethel,41.3712,-73.414,-3.8,51,0,5.14,US,2025-01-08
42,ilulissat,69.2167,-51.1,-9.68,76,100,2.08,GL,2025-01-08
43,kodiak,57.79,-152.4072,0.73,93,0,0.0,US,2025-01-08
44,hawaiian paradise park,19.5933,-154.9731,19.94,100,0,0.0,US,2025-01-08
45,profondeville,50.3761,4.8669,3.29,93,100,4.47,BE,2025-01-08
46,cidade velha,14.9167,-23.6167,27.26,54,20,7.2,CV,2025-01-08
47,santiago de cao,-7.9589,-79.2392,21.07,83,20,3.6,PE,2025-01-08
48,colac,-38.3333,143.5833,16.79,66,100,3.12,AU,2025-01-08
49,ust'-kulom,61.6864,53.6902,-12.31,95,100,4.44,RU,2025-01-08
50,al jawf,29.5,38.75,11.1,43,0,3.11,SA,2025-01-08
51,coahuayana de hidalgo,18.7,-103.6583,25.12,46,98,0.49,MX,2025-01-08
52,igarka,67.4667,86.5833,-28.11,100,100,1.74,RU,2025-01-08
53,thompson,55.7435,-97.8558,-12.91,85,100,4.63,CA,2025-01-08
54,swakopmund,-22.6833,14.5333,19.99,75,39,2.68,NA,2025-01-08
55,wailua homesteads,22.0669,-159.378,21.44,95,100,1.54,US,2025-01-08
56,candido mendes,-1.4467,-45.7167,28.13,77,100,2.09,BR,2025-01-08
57,tazovsky,67.4667,78.7,-28.8,100,36,1.49,RU,2025-01-08
58,ambon,-3.6954,128.1814,30.69,100,99,1.43,ID,2025-01-08
59,yeniseysk,58.4497,92.1703,-10.91,96,100,2.06,RU,2025-01-08
60,mascara,35.3966,0.1403,19.51,26,100,2.31,DZ,2025-01-08
61,dawson creek,55.7666,-120.2362,3.8,65,0,6.69,CA,2025-01-08
62,malpica,43.3228,-8.8105,15.13,100,69,11.93,ES,2025-01-08
63,linqiong,30.4159,103.4609,7.39,69,95,0.38,CN,2025-01-08
64,nuku'alofa,-21.1333,-175.2,24.19,78,20,3.09,TO,2025-01-08
65,mbandaka,0.0487,18.2603,31.98,41,79,1.99,CD,2025-01-08
66,alice springs,-23.7,133.8833,28.75,30,62,0.51,AU,2025-01-08
67,zeya,53.75,127.2667,-18.92,88,100,2.21,RU,2025-01-08
68,singarayakonda,15.25,80.0333,23.24,74,0,3.66,IN,2025-01-08
69,invercargill,-46.4,168.35,11.68,93,59,0.74,NZ,2025-01-08
70,blackmans bay,-43.0167,147.3167,17.07,88,97,0.45,AU,2025-01-08
71,lycksele,64.5954,18.6735,-11.07,85,100,3.09,SE,2025-01-08
72,salinopolis,-0.6136,-47.3561,26.82,85,77,3.57,BR,2025-01-08
73,kenai,60.5544,-151.2583,0.64,96,75,2.06,US,2025-01-08
74,isangel,-19.55,169.2667,23.68,71,31,3.48,VU,2025-01-08
75,shenjiamen,29.9576,122.298,7.82,50,20,5.15,CN,2025-01-08
76,kikwit,-5.041,18.8162,32.58,40,90,1.52,CD,2025-01-08
77,iqaluit,63.7506,-68.5145,-20.73,76,100,13.38,CA,2025-01-08
78,mundemba,4.9479,8.8724,35.7,29,68,3.68,CM,2025-01-08
79,susuman,62.7833,148.1667,-36.45,96,98,0.28,RU,2025-01-08
80,pacific grove,36.6177,-121.9166,8.61,57,0,2.06,US,2025-01-08
81,jamestown,42.097,-79.2353,-8.32,85,100,5.66,US,2025-01-08
82,port alfred,-33.5906,26.891,24.54,71,2,3.13,ZA,2025-01-08
83,guerrero negro,27.9769,-114.0611,13.28,78,3,3.33,MX,2025-01-08
84,uturoa,-16.7333,-151.4333,27.15,70,66,2.38,PF,2025-01-08
85,al bayda',32.7627,21.7551,13.5,59,78,0.66,LY,2025-01-08
86,paradip garh,20.3167,86.6167,20.38,69,0,3.75,IN,2025-01-08
87,ingeniero jacobacci,-41.3427,-69.5448,25.79,17,0,6.54,AR,2025-01-08
88,bikenibeu village,1.3673,173.1241,26.98,83,40,3.6,KI,2025-01-08
89,kokuy,52.2037,117.5529,-29.97,100,38,0.96,RU,2025-01-08
90,weno,7.4515,151.8468,27.97,74,100,4.12,FM,2025-01-08
91,usogorsk,63.4106,48.6872,-10.77,94,100,6.01,RU,2025-01-08
92,tonghae,37.5439,129.1069,-6.62,51,0,8.36,KR,2025-01-08
93,tariba,7.8188,-72.2243,21.95,46,85,2.09,VE,2025-01-08
94,krasnyy chikoy,50.3643,108.7512,-28.16,100,60,0.7,RU,2025-01-08
95,chonchi,-42.6128,-73.8092,15.57,94,100,2.37,CL,2025-01-08
96,san patricio,28.017,-97.5169,5.63,48,100,6.54,US,2025-01-08
97,chinde,26.8212,87.7095,12.66,71,0,1.97,NP,2025-01-08
98,boende,-0.2167,20.8667,27.76,59,100,0.98,CD,2025-01-08
99,axum,14.1245,38.7244,19.08,27,68,5.13,ET,2025-01-08
100,waingapu,-9.6567,120.2641,27.35,79,100,0.68,ID,2025-01-08
101,island harbour,50.724,-1.2758,3.04,93,100,3.13,GB,2025-01-08
102,tandalti,13.0167,31.8667,29.85,14,14,3.72,SD,2025-01-08
103,huarmey,-10.0681,-78.1522,22.81,79,92,3.55,PE,2025-01-08
104,tlacotepec,20.0667,-97.8667,13.35,99,98,0.61,MX,2025-01-08
105,emerald,-23.5333,148.1667,23.52,63,19,5.87,AU,2025-01-08
106,florida,28.7505,-82.5001,8.33,71,47,4.06,US,2025-01-08
107,lithgow,-33.4833,150.15,10.92,98,100,1.32,AU,2025-01-08
108,badger,64.8,-147.5333,-9.8,87,40,2.06,US,2025-01-08
109,atafu village,-8.5421,-172.5159,28.05,68,100,7.84,TK,2025-01-08
110,adrar,20.5022,-10.0711,25.84,10,10,7.07,MR,2025-01-08
111,kalymnos,36.95,26.9833,17.74,82,40,4.12,GR,2025-01-08
112,longyearbyen,78.2186,15.6401,-8.09,79,75,5.14,SJ,2025-01-08
113,arkhangel'sk,64.5401,40.5433,-8.94,86,100,8.0,RU,2025-01-08
114,udachny,66.4167,112.4,-23.05,99,99,2.44,RU,2025-01-08
115,ribeira grande,38.5167,-28.7,19.32,82,20,10.73,PT,2025-01-08
116,plettenberg bay,-34.0527,23.3716,21.94,64,17,3.36,ZA,2025-01-08
117,bayana,26.9,77.2833,12.84,49,0,1.02,IN,2025-01-08
118,avarua,-21.2078,-159.775,28.03,89,75,6.69,CK,2025-01-08
119,vorgashor,67.5833,63.95,-26.76,100,100,2.11,RU,2025-01-08
120,cabedelo,-6.9811,-34.8339,32.37,62,57,4.75,BR,2025-01-08
121,sitka,57.0531,-135.33,5.05,95,100,2.41,US,2025-01-08
122,staraya stanitsa,48.35,40.2833,5.78,67,100,5.19,RU,2025-01-08
123,kissidougou,9.1848,-10.0999,35.68,11,20,3.77,GN,2025-01-08
124,nevada,39.2502,-116.7512,-8.71,87,100,0.76,US,2025-01-08
125,port shepstone,-30.7414,30.455,24.17,66,52,6.38,ZA,2025-01-08
126,vilhena,-12.7406,-60.1458,25.12,88,75,5.14,BR,2025-01-08
127,puerto cabezas,14.0351,-83.3888,24.98,94,75,4.12,NI,2025-01-08
128,college,64.8569,-147.8028,-9.75,87,40,2.06,US,2025-01-08
129,yarkovo,57.4028,67.0786,-17.07,95,85,2.31,RU,2025-01-08
130,lake city,30.1897,-82.6393,5.39,69,0,2.3,US,2025-01-08
131,lihue,21.9789,-159.3672,21.77,100,100,1.54,US,2025-01-08
132,suva,-18.1416,178.4415,25.71,83,75,4.63,FJ,2025-01-08
133,korla,41.7597,86.1469,-6.21,74,100,1.54,CN,2025-01-08
134,tsumeb,-19.2333,17.7167,30.92,29,100,2.29,NA,2025-01-08
135,san antonio de pale,-1.4014,5.6325,27.47,75,69,3.19,GQ,2025-01-08
136,dryden,49.7833,-92.7503,-15.84,85,100,4.63,CA,2025-01-08
137,ambodifotatra,-16.9833,49.85,27.92,73,1,2.8,MG,2025-01-08
138,altai,46.3722,96.2583,-16.16,64,98,1.88,MN,2025-01-08
139,ajaccio,42.0,8.9167,12.99,72,100,1.03,FR,2025-01-08
140,aykhal,66.0,111.5,-20.39,99,100,2.98,RU,2025-01-08
141,crane,31.3974,-102.3501,-2.02,28,99,5.93,US,2025-01-08
142,east london,-33.0153,27.9116,24.52,69,20,8.23,ZA,2025-01-08
143,road town,18.4167,-64.6167,28.02,69,40,3.6,VG,2025-01-08
144,carutapera,-1.195,-46.02,28.34,74,99,2.74,BR,2025-01-08
145,bubaque,11.2833,-15.8333,25.48,62,55,4.41,GW,2025-01-08
146,port mathurin,-19.6833,63.4167,26.38,87,3,9.22,MU,2025-01-08
147,sibenik,43.7272,15.9058,15.21,66,32,0.89,HR,2025-01-08
148,saipan,15.1355,145.701,26.47,86,21,3.58,MP,2025-01-08
149,bredasdorp,-34.5322,20.0403,24.26,50,2,8.15,ZA,2025-01-08
150,lebu,-37.6167,-73.65,17.98,70,0,5.08,CL,2025-01-08
151,batken,39.8333,71.0,-10.44,63,98,2.48,KG,2025-01-08
152,phelan,34.4261,-117.5723,2.37,41,1,1.79,US,2025-01-08
153,las heras,-46.5419,-68.9359,23.41,32,21,14.61,AR,2025-01-08
154,lompoc,34.6391,-120.4579,10.01,34,68,1.91,US,2025-01-08
155,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,58,0,3.0,RU,2025-01-08
156,nienburg,52.6333,9.2167,4.16,82,94,5.3,DE,2025-01-08
157,turuntayevo,52.2,107.6167,-22.64,99,35,0.52,RU,2025-01-08
158,hithadhoo,-0.6,73.0833,27.44,76,40,1.88,MV,2025-01-08
159,dunedin,-45.8742,170.5036,12.52,87,99,4.16,NZ,2025-01-08
160,tsiombe,-25.3,45.4833,30.08,58,78,4.19,MG,2025-01-08
161,las khorey,11.1595,48.1967,24.03,68,43,2.67,SO,2025-01-08
162,harstad,68.799,16.5293,-4.91,75,100,3.8,NO,2025-01-08
163,nagqu,31.5,92.0,-12.58,26,53,2.19,CN,2025-01-08
164,sao jose da coroa grande,-8.8978,-35.1478,29.12,57,8,5.71,BR,2025-01-08
165,hampton,37.0299,-76.3452,0.01,53,20,7.72,US,2025-01-08
166,crucecita,-28.95,-58.9833,33.84,20,0,3.12,AR,2025-01-08
167,lerwick,60.1545,-1.1494,3.83,69,100,7.18,GB,2025-01-08
168,callao,-12.0667,-77.15,24.84,78,100,6.17,PE,2025-01-08
169,talnakh,69.4865,88.3972,-18.61,98,100,2.55,RU,2025-01-08
170,christchurch,-43.5333,172.6333,9.95,91,100,0.0,NZ,2025-01-08
171,keflavik,64.0049,-22.5624,-4.76,58,0,3.6,IS,2025-01-08
172,aur,8.1499,171.1687,26.93,80,84,9.88,MH,2025-01-08
173,jaisalmer,26.9147,70.9181,19.36,12,17,2.14,IN,2025-01-08
174,bamboo flat,11.7,92.7167,25.05,88,100,1.03,IN,2025-01-08
175,shimonoseki,33.95,130.95,5.0,81,75,5.66,JP,2025-01-08
176,dolores,-36.3132,-57.6792,31.02,25,0,4.72,AR,2025-01-08
177,kogalym,62.2654,74.4791,-21.34,100,94,2.76,RU,2025-01-08
178,dudinka,69.4058,86.1778,-21.99,97,100,5.01,RU,2025-01-08
179,kolonia town,6.964,158.206,27.88,79,81,8.42,FM,2025-01-08
180,thunder bay,48.4001,-89.3168,-16.01,66,40,1.03,CA,2025-01-08
181,opuwo,-18.0607,13.84,28.63,35,85,5.77,NA,2025-01-08
182,rio grande,-32.035,-52.0986,23.05,58,0,4.97,BR,2025-01-08
183,bardai,11.65,7.2333,30.16,12,37,5.95,NG,2025-01-08
184,bilibino,68.0546,166.4372,-35.61,98,9,0.8,RU,2025-01-08
185,la sarre,48.8002,-79.1996,-21.62,93,100,5.39,CA,2025-01-08
186,mejit,10.2753,170.8646,27.12,74,19,10.77,MH,2025-01-08
187,la ronge,55.1001,-105.2842,-1.86,74,20,3.09,CA,2025-01-08
188,popondetta,-8.7537,148.2534,24.23,99,100,0.74,PG,2025-01-08
189,griffith,41.5284,-87.4237,-6.93,71,0,3.6,US,2025-01-08
190,akureyri,65.6835,-18.0878,-9.04,86,100,2.57,IS,2025-01-08
191,sao joao da barra,-21.6403,-41.0511,30.05,78,22,4.67,BR,2025-01-08
192,khandyga,62.6667,135.6,-36.55,100,96,0.78,RU,2025-01-08
193,carnarvon,-24.8667,113.6333,24.77,71,0,11.34,AU,2025-01-08
194,manturovo,58.3353,44.7619,1.68,100,100,5.14,RU,2025-01-08
195,lewistown,40.5992,-77.5714,-2.99,100,95,5.21,US,2025-01-08
196,stanley,54.868,-1.6985,0.01,74,0,3.6,GB,2025-01-08
197,kodinsk,58.6881,99.1844,-15.56,96,100,1.62,RU,2025-01-08
198,codrington,-38.2667,141.9667,17.16,84,100,1.3,AU,2025-01-08
199,kilkeel,54.062,-6.0031,1.64,78,100,2.5,GB,2025-01-08
200,qaqortoq,60.7167,-46.0333,-6.3,73,99,2.82,GL,2025-01-08
201,qamdo,31.1667,97.2333,-8.87,35,9,1.65,CN,2025-01-08
202,iskateley,67.6803,53.1512,-24.37,100,48,2.96,RU,2025-01-08
203,urzhar,47.093,81.6294,-4.22,98,100,2.17,KZ,2025-01-08
204,nemuro,43.3236,145.575,-2.69,66,11,12.99,JP,2025-01-08
205,yelizovo,53.1873,158.3805,-4.92,58,0,3.0,RU,2025-01-08
206,karliova,39.2983,41.0142,-10.54,74,18,1.71,TR,2025-01-08
207,pudasjarvi,65.3833,26.9167,-9.0,88,100,4.27,FI,2025-01-08
208,key west,24.5557,-81.7826,15.56,68,71,3.58,US,2025-01-08
209,labytnangi,66.6572,66.4183,-27.35,96,5,0.76,RU,2025-01-08
210,tokmok,42.8417,75.3016,-7.06,81,100,2.65,KG,2025-01-08
211,san luis de la loma,17.2706,-100.8939,26.57,53,0,1.39,MX,2025-01-08
212,touros,-5.1989,-35.4608,30.49,56,100,5.27,BR,2025-01-08
213,lamar,33.6668,-95.5836,-2.84,67,0,3.6,US,2025-01-08
214,nar'yan-mar,67.6713,53.087,-24.43,100,56,2.93,RU,2025-01-08
215,tolanaro,-25.0319,46.9987,30.04,70,40,9.77,MG,2025-01-08
216,tutoia,-2.7619,-42.2744,29.87,65,93,5.42,BR,2025-01-08
217,port-vila,-17.7338,168.3219,24.78,88,75,1.54,VU,2025-01-08
218,salalah,17.0151,54.0924,22.29,68,3,2.57,OM,2025-01-08
219,kapuskasing,49.4169,-82.4331,-28.95,76,20,3.09,CA,2025-01-08
220,nabire,-3.3667,135.4833,25.16,93,100,1.23,ID,2025-01-08
221,yamada,39.4667,141.95,-0.85,70,5,3.75,JP,2025-01-08
222,berezovo,63.9381,65.0419,-28.83,100,30,0.85,RU,2025-01-08
223,gizo,-8.103,156.8419,28.29,79,43,5.11,SB,2025-01-08
224,san andres,12.5847,-81.7006,27.01,94,40,6.17,CO,2025-01-08
225,st. john's,47.5649,-52.7093,1.65,96,100,2.06,CA,2025-01-08
226,klyuchi,52.2667,79.1667,-14.39,90,99,4.95,RU,2025-01-08
227,wahpeton,46.2652,-96.6059,-14.95,85,80,3.22,US,2025-01-08
228,queenstown,-31.8976,26.8753,25.36,40,42,7.62,ZA,2025-01-08
229,gallup,35.5281,-108.7426,-6.09,73,100,4.63,US,2025-01-08
230,hami,42.8,93.45,-5.06,58,3,2.51,CN,2025-01-08
231,zhanibek,49.4167,46.85,1.52,90,84,7.18,KZ,2025-01-08
232,tazacorte,28.629,-17.9293,20.54,83,40,3.09,ES,2025-01-08
233,nago,26.5881,127.9761,14.04,60,5,2.4,JP,2025-01-08
234,utrik,11.2278,169.8474,26.98,82,7,10.18,MH,2025-01-08
235,mount isa,-20.7333,139.5,30.87,45,65,5.14,AU,2025-01-08
236,nikolayevsk-on-amure,53.1406,140.73,-8.26,94,100,3.66,RU,2025-01-08
237,shingu,33.7333,135.9833,1.74,75,84,2.96,JP,2025-01-08
238,faya-largeau,17.9257,19.1043,26.94,16,0,3.09,TD,2025-01-08
239,neiafu,-18.65,-173.9833,25.38,94,75,0.0,TO,2025-01-08
240,vicosa,-20.7539,-42.8819,23.38,85,90,4.25,BR,2025-01-08
241,namibe,-15.1961,12.1522,23.75,73,84,4.32,AO,2025-01-08
242,rawson,-43.3002,-65.1023,25.16,53,0,2.06,AR,2025-01-08
243,el bauga,18.262,33.9081,25.79,18,64,3.77,SD,2025-01-08
244,korenevo,55.6719,38.0078,4.21,100,75,4.0,RU,2025-01-08
245,ciudad del carmen,18.6333,-91.8333,22.9,76,60,6.32,MX,2025-01-08
246,nanao,37.05,136.9667,4.23,64,100,7.92,JP,2025-01-08
247,kupang,-10.1667,123.5833,26.71,86,100,1.87,ID,2025-01-08
248,ash shafa,21.0694,40.3119,12.68,39,41,1.6,SA,2025-01-08
249,flying fish cove,-10.4217,105.6791,25.82,88,40,2.06,CX,2025-01-08
250,whitehorse,60.7161,-135.0538,-3.57,74,75,4.63,CA,2025-01-08
251,geraldton,-28.7667,114.6,21.23,78,20,7.2,AU,2025-01-08
252,selfoss,63.9331,-20.9971,-11.27,75,0,4.74,IS,2025-01-08
253,manismata,-2.4667,111.0333,24.02,98,98,1.15,ID,2025-01-08
254,kuqa,41.7278,82.9364,-6.12,85,100,0.74,CN,2025-01-08
255,champerico,14.3,-91.9167,26.94,68,26,1.66,GT,2025-01-08
256,nan,18.8333,100.6667,18.8,60,6,0.08,TH,2025-01-08
257,whangarei,-35.7317,174.3239,13.89,82,87,1.92,NZ,2025-01-08
258,el granada,37.5027,-122.4694,13.21,46,0,2.06,US,2025-01-08
259,kaohsiung,22.6163,120.3133,18.97,84,75,1.03,TW,2025-01-08
260,nishinoomote,30.7333,131.0,14.43,51,74,12.3,JP,2025-01-08
261,caibarien,22.5206,-79.4669,22.16,64,73,5.63,CU,2025-01-08
262,nuuk,64.1835,-51.7216,-3.66,68,40,4.12,GL,2025-01-08
263,aasiaat,68.7098,-52.8699,-6.89,94,100,4.65,GL,2025-01-08
264,hangal,14.7667,75.1333,21.66,37,26,3.5,IN,2025-01-08
265,katabu,-4.9333,122.5167,24.75,90,56,0.79,ID,2025-01-08
266,abepura,-2.6333,140.5833,22.65,95,16,0.14,ID,2025-01-08
267,valparaiso,-33.0393,-71.6273,23.04,53,75,5.14,CL,2025-01-08
268,pitimbu,-7.4706,-34.8086,28.13,65,74,4.62,BR,2025-01-08
269,polyarnyy,69.1989,33.4478,-14.84,93,73,2.9,RU,2025-01-08
270,loa janan,-0.583,117.095,23.68,97,100,0.67,ID,2025-01-08
271,oskarshamn,57.2645,16.4484,3.88,88,100,7.4,SE,2025-01-08
272,xucheng,20.35,110.1288,18.76,81,100,3.16,CN,2025-01-08
273,mandera,3.9366,41.867,33.83,25,9,1.26,KE,2025-01-08
274,vilyuchinsk,52.9306,158.4028,-4.85,83,100,4.01,RU,2025-01-08
275,barkly west,-28.5354,24.5215,34.13,15,6,4.62,ZA,2025-01-08
276,tahlequah,35.9154,-94.97,-5.88,79,0,1.54,US,2025-01-08
277,hamilton,39.1834,-84.5333,-5.08,79,100,3.6,US,2025-01-08
278,balykshi,47.0667,51.8667,-3.0,80,0,9.0,KZ,2025-01-08
279,oamaru,-45.0784,170.9801,13.54,86,89,1.68,NZ,2025-01-08
280,vorkuta,67.5,64.0,-26.77,100,100,1.83,RU,2025-01-08
281,fauske,67.2588,15.3918,-12.01,79,100,4.67,NO,2025-01-08
